ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
0.65 0.65 0 0.204406 
1.95 0.65 0 0.0213249 
3.25 0.65 0 0.0603713 
4.55 0.65 0 0.320678 
5.85 0.65 0 0.0952362 
7.15 0.65 0 0.13219 
8.45 0.65 0 0.147993 
9.75 0.65 0 0.232157 
11.05 0.65 0 0.0311355 
12.35 0.65 0 0.226196 
13.65 0.65 0 0.157825 
14.95 0.65 0 0.104708 
16.25 0.65 0 0.246976 
17.55 0.65 0 0.241709 
18.85 0.65 0 0.160704 
0.65 1.95 0 0.0143392 
1.95 1.95 0 0.271635 
3.25 1.95 0 0.0822398 
4.55 1.95 0 0.327322 
5.85 1.95 0 0.333603 
7.15 1.95 0 0.132261 
8.45 1.95 0 0.0316899 
9.75 1.95 0 0.16382 
11.05 1.95 0 0.14305 
12.35 1.95 0 0.150239 
13.65 1.95 0 0.101139 
14.95 1.95 0 0.399992 
16.25 1.95 0 0.0797949 
17.55 1.95 0 0.425333 
18.85 1.95 0 0.128984 
0.65 3.25 0 0.103961 
1.95 3.25 0 0.0701875 
3.25 3.25 0 0.162459 
4.55 3.25 0 0.114883 
5.85 3.25 0 0.298418 
7.15 3.25 0 0.13747 
8.45 3.25 0 0.0695584 
9.75 3.25 0 0.0303759 
11.05 3.25 0 0.164921 
12.35 3.25 0 0.234842 
13.65 3.25 0 0.0676388 
14.95 3.25 0 0.201706 
16.25 3.25 0 0.168455 
17.55 3.25 0 0.289125 
18.85 3.25 0 0.156026 
0.65 4.55 0 0.0872384 
1.95 4.55 0 0.105825 
3.25 4.55 0 0.220353 
4.55 4.55 0 0.173696 
5.85 4.55 0 0.0739195 
7.15 4.55 0 0.465777 
8.45 4.55 0 0.0674637 
9.75 4.55 0 0.052131 
11.05 4.55 0 0.140993 
12.35 4.55 0 0.109399 
13.65 4.55 0 0.397931 
14.95 4.55 0 0.133488 
16.25 4.55 0 0.0724664 
17.55 4.55 0 0.13807 
18.85 4.55 0 0.174893 
0.65 5.85 0 0.233725 
1.95 5.85 0 0.223046 
3.25 5.85 0 0.0364936 
4.55 5.85 0 0.197455 
5.85 5.85 0 0.122987 
7.15 5.85 0 0.178942 
8.45 5.85 0 0.263486 
9.75 5.85 0 0.169289 
11.05 5.85 0 0.207907 
12.35 5.85 0 0.116635 
13.65 5.85 0 0.18211 
14.95 5.85 0 0.098053 
16.25 5.85 0 0.228393 
17.55 5.85 0 0.15182 
18.85 5.85 0 0.243092 
0.65 7.15 0 0.093408 
1.95 7.15 0 0.166294 
